id,nivel,fecha_hora,pregunta,respuesta,fuentes_relevantes,latencia_busqueda_faiss_seg,latencia_generacion_llm_seg,latencia_total_seg,top_k,chunks_recuperados,chunks_relevantes,keywords
Q1,Nivel 1,2026-05-23 00:06:01,¿Cuáles son las tres entidades federativas con mayor índice de homicidios dolosos según los datos más recientes incluidos en el corpus?,La información proporcionada en el corpus no detalla este aspecto.,[],0.025,0,0.026,8,8,0,"[""entidades"", ""federativas"", ""índice"", ""homicidios"", ""dolosos"", ""recientes""]"
Q2,Nivel 1,2026-05-23 00:06:01,"¿Qué organizaciones, cárteles o grupos delictivos se mencionan con mayor frecuencia operando en la región de Tierra Caliente?",La información proporcionada en el corpus no detalla este aspecto.,[],0.016,0,0.016,8,8,0,"[""organizaciones"", ""cárteles"", ""grupos"", ""delictivos"", ""mencionan"", ""frecuencia"", ""operando"", ""región"", ""tierra"", ""caliente""]"
Q3,Nivel 1,2026-05-23 00:06:01,¿Cuáles son las cifras oficiales reportadas sobre el desplazamiento forzado interno a causa de la violencia durante el último sexenio documentado?,"Respuesta parcial del tutor:

1. Hallazgo principal
El corpus recuperado contiene evidencia relacionada con la pregunta, pero no permite contestar todos los elementos solicitados de forma completa.

2. Evidencia documental recuperada
- [PDF: onc_anual_2025.pdf | Página: 57] El documento señala: ""Sinaloa Ha surgido desplazamiento  forzado de familias por la  violencia, particularmente en  municipios como  Badiraguato, donde  comunidades enteras han  abandonado sus hogares  ante la presencia de grupos  armados y los  enfrentamientos por el  control territorial (cifras  oficiales registran más de  mil familias desplazadas ...""
- [PDF: onc_anual2025.pdf | Página: 57] El documento señala: ""Sinaloa Ha surgido desplazamiento  forzado de familias por la  violencia, particularmente en  municipios como  Badiraguato, donde  comunidades enteras han  abandonado sus hogares  ante la presencia de grupos  armados y los  enfrentamientos por el  control territorial (cifras  oficiales registran más de  mil familias desplazadas ...""

3. Interpretación académica
La evidencia anterior permite identificar información relacionada con el tema, pero no autoriza ampliar la respuesta con datos externos, ejemplos no citados o conclusiones no contenidas en el corpus.

4. Límite de la respuesta
Por lo tanto, la respuesta debe considerarse parcial. Para una respuesta completa sería necesario incorporar documentos que traten directamente todos los elementos de la pregunta.","[{""numero"": 1, ""pdf"": ""onc_anual_2025.pdf"", ""pagina"": 57, ""texto"": ""Sinaloa Ha surgido desplazamiento  forzado de familias por la  violencia, particularmente en  municipios como  Badiraguato, donde  comunidades enteras han  abandonado sus hogares  ante la presencia de grupos  armados y los  enfrentamientos por el  control territorial (cifras  oficiales registran más de  mil familias desplazadas  durante 2025). Fuente: Elaboración del ONC con base en el SESNSP con datos descargados  el 19 de enero de 2026"", ""coincidencias"": 5}, {""numero"": 2, ""pdf"": ""onc_anual2025.pdf"", ""pagina"": 57, ""texto"": ""Sinaloa Ha surgido desplazamiento  forzado de familias por la  violencia, particularmente en  municipios como  Badiraguato, donde  comunidades enteras han  abandonado sus hogares  ante la presencia de grupos  armados y los  enfrentamientos por el  control territorial (cifras  oficiales registran más de  mil familias desplazadas  durante 2025). Fuente: Elaboración del ONC con base en el SESNSP con datos descargados  el 19 de enero de 2026"", ""coincidencias"": 5}]",0.02,0.0,0.021,8,8,2,"[""cifras"", ""oficiales"", ""desplazamiento"", ""forzado"", ""interno"", ""causa"", ""durante"", ""último"", ""sexenio""]"
Q4,Nivel 2,2026-05-23 00:06:01,"Según los documentos, ¿cuáles son las principales causas socioeconómicas que los autores asocian directamente al incremento de la violencia urbana?",La información proporcionada en el corpus no detalla este aspecto.,[],0.019,0,0.02,8,8,0,"[""causas"", ""socioeconómicas"", ""autores"", ""asocian"", ""directamente"", ""incremento"", ""urbana""]"
Q5,Nivel 2,2026-05-23 00:06:01,Contrasta las estrategias de seguridad pública mencionadas en el corpus. ¿Qué diferencias de enfoque existen entre la militarización y las políticas de prevención social?,La información proporcionada en el corpus no detalla este aspecto.,[],0.017,0,0.017,8,8,0,"[""contrasta"", ""estrategias"", ""diferencias"", ""enfoque"", ""militarización"", ""políticas"", ""prevención"", ""social""]"
Q6,Nivel 2,2026-05-23 00:06:01,¿Cómo ha evolucionado la tasa de delitos de extorsión a nivel nacional y qué sectores económicos se reportan como los más afectados?,La información proporcionada en el corpus no detalla este aspecto.,[],0.019,0,0.019,8,8,0,"[""evolucionado"", ""delitos"", ""extorsión"", ""sectores"", ""económicos"", ""reportan"", ""afectados""]"
Q7,Nivel 2,2026-05-23 00:06:01,¿Existe alguna diferencia significativa documentada en los tipos de violencia que experimentan las zonas rurales en comparación con las zonas metropolitanas?,"Respuesta parcial del tutor:

1. Hallazgo principal
El corpus recuperado contiene evidencia relacionada con la pregunta, pero no permite contestar todos los elementos solicitados de forma completa.

2. Evidencia documental recuperada
- [PDF: delitos_mexico_inegi.pdf | Página: 34] El documento señala: ""EN NÚMEROS. DOCUMENTOS DE ANÁLISIS Y ESTADÍSTICAS  29 2. Existen áreas metropolitanas donde sobresale la incidencia de un cierto tipo de delito. 3. Existen áreas metropolitanas con perfiles delictivos similares, pero con niveles de intensidad diferentes. 4. Hay un conjunto de áreas metropolitanas  donde la convergencia y la alta...""

3. Interpretación académica
La evidencia anterior permite identificar información relacionada con el tema, pero no autoriza ampliar la respuesta con datos externos, ejemplos no citados o conclusiones no contenidas en el corpus.

4. Límite de la respuesta
Por lo tanto, la respuesta debe considerarse parcial. Para una respuesta completa sería necesario incorporar documentos que traten directamente todos los elementos de la pregunta.","[{""numero"": 2, ""pdf"": ""delitos_mexico_inegi.pdf"", ""pagina"": 34, ""texto"": ""EN NÚMEROS. DOCUMENTOS DE ANÁLISIS Y ESTADÍSTICAS  29 2. Existen áreas metropolitanas donde sobresale la incidencia de un cierto tipo de delito. 3. Existen áreas metropolitanas con perfiles delictivos similares, pero con niveles de intensidad diferentes. 4. Hay un conjunto de áreas metropolitanas  donde la convergencia y la alta incidencia de múltiples tipos de delitos generan un nivel de afectación mayor, aunque no tengan alta incidencia en delitos de alto impacto como el homicidio. Las conclusiones anteriores indican la pertinencia de explorar estra- tegias diferenciadas de atención al fenómeno delictivo, considerando  los niveles de severidad especialmente para los grupos que presentan  altos subíndices para múltiples delitos. 3.4 Análisis comparativo del índice de severidad  2017-2018"", ""coincidencias"": 3}]",0.016,0.0,0.016,8,8,1,"[""diferencia"", ""significativa"", ""tipos"", ""experimentan"", ""zonas"", ""rurales"", ""comparación"", ""metropolitanas""]"
Q8,Nivel 3,2026-05-23 00:06:01,"Con base en las posturas de las ONGs y las fuentes gubernamentales presentes en los textos, ¿cuáles son las principales contradicciones o discrepancias en el registro de víctimas?",La información proporcionada en el corpus no detalla este aspecto.,[],0.018,0,0.018,8,8,0,"[""posturas"", ""fuentes"", ""gubernamentales"", ""presentes"", ""textos"", ""contradicciones"", ""discrepancias"", ""registro"", ""víctimas""]"
Q9,Nivel 3,2026-05-23 00:06:01,¿Qué impacto específico tiene la violencia documentada sobre la tasa de deserción escolar en las zonas de alto conflicto?,La información proporcionada en el corpus no detalla este aspecto.,[],0.016,0,0.016,8,8,0,"[""impacto"", ""específico"", ""tiene"", ""deserción"", ""escolar"", ""zonas"", ""conflicto""]"
Q10,Nivel 3,2026-05-23 00:06:01,"A partir de las conclusiones de los autores en el corpus, ¿qué vacíos de información, subregistros o falta de datos fiables se identifican como el principal obstáculo para medir la violencia real en el país?",La información proporcionada en el corpus no detalla este aspecto.,[],0.02,0,0.02,8,8,0,"[""partir"", ""conclusiones"", ""autores"", ""vacíos"", ""información"", ""subregistros"", ""falta"", ""fiables"", ""identifican"", ""principal"", ""obstáculo"", ""medir""]"
